timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614618881190,10,Kittens-2,200,OK,Bing Various 2-2,bin,true,,4618,138,2,3,http://www.bing.com/sa/simg/favicon-2x.ico,10,0,0
1614618881200,10,Kittens-3,200,OK,Bing Various 2-2,text,true,,1378,150,2,3,http://www.bing.com/rp/XvRHqJwJt19aXQca73hQTfvNMxk.svg,10,0,0
1614618881210,9,Kittens-4,200,OK,Bing Various 2-2,text,true,,1504,150,2,3,http://www.bing.com/rp/fdVZU4ttbw8NDRm6H3I5BW3_vCo.svg,9,0,0
1614618881219,8,Kittens-5,200,OK,Bing Various 2-2,text,true,,1935,150,2,3,http://www.bing.com/rp/4L4QdyjTv0HYE2Ig2ol9eYoqxg8.svg,8,0,0
1614618881227,9,Kittens-6,200,OK,Bing Various 2-2,text,true,,1115,150,2,3,http://www.bing.com/rp/Fsa_OI0AplCnVoXGca8ALOo0S0s.svg,9,0,0
1614618881236,9,Kittens-7,200,OK,Bing Various 2-2,text,true,,1797,150,2,3,http://www.bing.com/rp/UYtUYDcn1oZlFG-YfBPz59zejYI.svg,9,0,0
1614618881245,9,Kittens-8,200,OK,Bing Various 2-2,text,true,,1559,150,2,3,http://www.bing.com/rp/KC_nX2_tPPyFvVw1RK20Yu1FyDk.svg,9,0,0
1614618881254,13,Kittens-9,200,OK,Bing Various 2-2,text,true,,1945,150,2,3,http://www.bing.com/rp/NnFHhz2jL6yzChtIhaB5IIVKY5k.svg,13,0,0
1614618881267,9,Kittens-10,200,OK,Bing Various 2-2,text,true,,1507,150,2,3,http://www.bing.com/rp/jZQUtjbvBNTFVhjuc1I6KRsoYFQ.css,9,0,0
1614618881276,9,Kittens-11,200,OK,Bing Various 2-2,text,true,,1547,150,2,3,http://www.bing.com/rp/DGRMR9NeVlyY3l85HlsGXYkE8_s.css,9,0,0
1614618881285,10,Kittens-12,200,OK,Bing Various 2-2,text,true,,1212,150,2,3,http://www.bing.com/rp/K1lFw1Mm-fGE5oJrZ4Sbf44j-54.css,10,0,0
1614618881295,10,Kittens-13,200,OK,Bing Various 2-2,text,true,,7546,150,2,3,http://www.bing.com/rp/IM8yRggr6PIeHc40CX57dqaq-lc.css,10,0,0
1614618881305,10,Kittens-14,200,OK,Bing Various 2-2,text,true,,1774,150,2,3,http://www.bing.com/rp/dPivqrU3cqe5fmsrlV6oVXWN6J8.css,10,0,0
1614618881315,9,Kittens-15,200,OK,Bing Various 2-2,text,true,,4628,150,2,3,http://www.bing.com/rp/fWNNQ1PnvP0-d6lD80KSmXG3Q4o.css,9,0,0
1614618881324,10,Kittens-16,200,OK,Bing Various 2-2,bin,true,,2632,150,2,3,http://www.bing.com/rp/kFAqShRrnkQMbH6NYLBYoJ3lq9s.png,10,0,0
1614618881334,20,Kittens-17,200,OK,Bing Various 2-2,bin,true,,1604,203,2,3,http://tse1.mm.bing.net/th?q=Really+Cute+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,20,0,9
